what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.5",1287657354038
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287657354038
java.version,sysinfo,,,"1.5.0_13",1287657354038
java.vm.info,sysinfo,,,"mixed mode",1287657354038
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1287657354038
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287657354038
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287657354038
java.vm.specification.version,sysinfo,,,"1.0",1287657354038
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287657354038
java.vm.version,sysinfo,,,"1.5.0_13-b05",1287657354038
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1287657354320
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1287657377635
error,log,,,"Could not write: Z:\\adv java\\.metadata\\.mylyn\\repositories.xml.zip",1287657443455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657667884
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657748786
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657749099
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287657751148
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1287657751210
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657793741
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657794398
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1287657800793
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1287657800793
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1287657800793
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1287657800871
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657811613
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657858710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657858976
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657859117
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287657865012
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287657865106
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287657867561
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1287657867764
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1287657867764
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1287657867951
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1287657867983
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1287657868123
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1287657868389
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1287657868436
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1287657868467
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1287657868499
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1287657868514
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1287657868561
