what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287656915435
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287656954748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287656964908
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287656998062
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1287656998218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287657006690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657007972
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657036499
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287657040204
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657041220
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657073405
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287657076359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657077531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657103589
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287657113921
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.closeProject",1287657116516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657116782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657117079
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1287657117094
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1287657117204
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287657117266
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287657239963
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287657276264
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1287657276451
closed,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287657276467
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657282843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657284327
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287657284405
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1287657285452
